ObjectNum,Name,Type,Constellation,Magnitude,Info,RAHour,RAMinute,DecSign,DecDeg,DecMinute
      1,UGC 57,Galaxy,Peg,13,"Size: 1.9  F, S, R, bet *11 and *14",0,7.3,+,27,43
      2,UGC 59,Galaxy,Peg,15,"Size: 1.4  vF, S, s of 1",0,7.3,+,27,41
      3,UGC 58,Galaxy,Psc,14,"F, vS, R, alm stell",0,7.3,+,8,17
      4,,Galaxy,Psc,,eF,0,7.4,+,8,22
      5,UGC 62,Galaxy,And,14,"vF, vS, N = *13, 14",0,7.8,+,35,21
      6,NGC 20,,And,,"eF, vS, cE; = 7831?",0,8.3,+,32,30
      7,ESO 409-22,Galaxy,Scl,,"Size: 2.5  eF, cL, mE, vgvlbM",0,8.4,-,29,55
      8,,Double Star,Peg,,"vF, N in n end",0,8.8,+,23,50
      9,UGC 78,Galaxy,Peg,15,"Size: 1.5  F, R, *9, 10 sf",0,8.9,+,23,49
     10,ESO 349-32,Galaxy,Scl,,"Size: 2.7  F, cL, vlE, glbM",0,8.6,-,33,52
     11,UGC 73,Galaxy,And,14,"vF, vS, vlE, 2 vF st inv",0,8.7,+,37,26
     12,UGC 74,Galaxy,Psc,15,"Size: 1.9  eF, pL, vglbM",0,8.7,+,4,37
     13,UGC 77,Galaxy,And,14,"Size: 2.7  vF, vS, S st + neb",0,8.8,+,33,26
     14,UGC 75,Galaxy,Peg,12,"Size: 3.0  vF, pS, R, glbM",0,8.8,+,15,49
     15,UGC 82,Galaxy,Peg,15,"vF, vS, R, bM",0,9.1,+,21,36
     16,UGC 80,Galaxy,Peg,12,"Size: 2.1  pB, S, R, bM",0,9.1,+,27,44
     17,NGC 34,,Cet,,"vF, eS, iR, D* 2' p; = 34",0,11,-,12,6
     18,,Double Star,Peg,,"F, vS, iR, mbM, 16 p 19s",0,9.4,+,27,43
     19,UGC 98,,And,,"eeF, lE, 3 vF st around",0,9.4,+,32,50
     20,NGC 6,Galaxy,And,15,"Size: 2.0  F, *10 att",0,9.5,+,33,19
     21,NGC 29,Galaxy,And,14,"Size: 1.4  eF, S, lE",0,10.7,+,32,59
     22,UGC 80,Galaxy,Peg,15,"vF, pS, R, lbM, r",0,9.8,+,27,50
     23,UGC 89,Galaxy,Peg,12,Size: 2.3  3 S st + neb,0,9.9,+,25,55
     24,ESO 472-16,Galaxy,Scl,11.5,"Size: 5.5  vF, cL, mE, gbM",0,9.9,-,24,58
     25,ESO 149-19,Galaxy,Phe,,"vF, S, R",0,9.9,-,57,3
     26,UGC 94,Galaxy,Peg,14,"Size: 2.2  vF, pL, R, 2 F st n",0,10.4,+,25,50
     27,UGC 96,Galaxy,And,14,"eF, vS, E, B* nr",0,10.5,+,29,0
     28,AM 0007-571,Galaxy,Phe,,"eF, p of 2",0,10.3,-,57,1
     29,NGC 21,Galaxy,And,14,"Size: 1.8  pB, pL, E 0deg",0,10.8,+,33,21
     30,,Double Star,Peg,,neb *13,0,10.8,+,21,57
     31,ESO 149-20,Galaxy,Phe,,"eeF, S, R, f of 2",0,10.5,-,57,0
     32,,Asterism,Peg,,F,0,10.9,+,18,47
     33,,Double Star,Psc,,"eF, vS, or neb st",0,10.9,+,3,40
     34,NGC 17,Galaxy,Cet,13,"pF, S, R, 2 st nr",0,11.1,-,12,6
     35,MCG 2-1-33,Galaxy,Cet,14,"eeF, pS, R",0,11.2,-,12,0
     36,UGC 106,Galaxy,Psc,15,"Size: 2.4  vF, pS, iF",0,11.4,+,6,23
     37,ESO 149-22,Galaxy,Phe,,"eF, S, R",0,11.3,-,56,58
     38,MCG 1-1-47,Galaxy,Psc,13,"F, S, R, mbM",0,11.9,-,5,36
     39,UGC 114,Galaxy,And,14,"vF, pS, R",0,12.3,+,31,3
     40,PK 120+9.1,Planetary Nebula,Cep,11,"Size: 0.6  F, vS, R, vsmbM, *12 sp",0,13,+,72,32
     41,MCG 4-1-39,Galaxy,Peg,14,"pF, S, lE, gbM",0,12.8,+,22,2
     42,UGC 118,Galaxy,Peg,15,"F, vS, stell",0,12.9,+,22,6
